Distance_km,Ia,Ib,Ic,Fault_Type
0.0100,10880.4495,0.1596,0.1596,1.0000
0.0200,10773.7264,0.1580,0.1580,1.0000
0.0300,10668.9739,0.1565,0.1565,1.0000
0.0400,10566.1411,0.1550,0.1550,1.0000
0.0500,10465.1785,0.1535,0.1535,1.0000
0.0600,10366.0384,0.1520,0.1520,1.0000
0.0700,10268.6743,0.1506,0.1506,1.0000
0.0800,10173.0415,0.1492,0.1492,1.0000
0.0900,10079.0963,0.1478,0.1478,1.0000
0.1000,9986.7968,0.1465,0.1465,1.0000
0.1100,9896.1021,0.1451,0.1451,1.0000
0.1200,9806.9727,0.1438,0.1438,1.0000
0.1300,9719.3702,0.1426,0.1426,1.0000
0.1400,9633.2574,0.1413,0.1413,1.0000
0.1500,9548.5984,0.1400,0.1400,1.0000
0.1600,9465.3582,0.1388,0.1388,1.0000
0.1700,9383.5030,0.1376,0.1376,1.0000
0.1800,9302.9998,0.1364,0.1364,1.0000
0.1900,9223.8168,0.1353,0.1353,1.0000
0.2000,9145.9230,0.1341,0.1341,1.0000
0.2100,9069.2885,0.1330,0.1330,1.0000
0.2200,8993.8840,0.1319,0.1319,1.0000
0.2300,8919.6814,0.1308,0.1308,1.0000
0.2400,8846.6531,0.1298,0.1298,1.0000
0.2500,8774.7724,0.1287,0.1287,1.0000
0.2600,8704.0135,0.1277,0.1277,1.0000
0.2700,8634.3513,0.1266,0.1266,1.0000
0.2800,8565.7612,0.1256,0.1256,1.0000
0.2900,8498.2196,0.1246,0.1246,1.0000
0.3000,8431.7033,0.1237,0.1237,1.0000
0.3100,8366.1899,0.1227,0.1227,1.0000
0.3200,8301.6577,0.1218,0.1218,1.0000
0.3300,8238.0854,0.1208,0.1208,1.0000
0.3400,8175.4524,0.1199,0.1199,1.0000
0.3500,8113.7386,0.1190,0.1190,1.0000
0.3600,8052.9246,0.1181,0.1181,1.0000
0.3700,7992.9915,0.1172,0.1172,1.0000
0.3800,7933.9206,0.1164,0.1164,1.0000
0.3900,7875.6941,0.1155,0.1155,1.0000
0.4000,7818.2945,0.1147,0.1147,1.0000
0.4100,7761.7048,0.1138,0.1138,1.0000
0.4200,7705.9084,0.1130,0.1130,1.0000
0.4300,7650.8891,0.1122,0.1122,1.0000
0.4400,7596.6313,0.1114,0.1114,1.0000
0.4500,7543.1197,0.1106,0.1106,1.0000
0.4600,7490.3393,0.1099,0.1099,1.0000
0.4700,7438.2757,0.1091,0.1091,1.0000
0.4800,7386.9146,0.1083,0.1083,1.0000
0.4900,7336.2424,0.1076,0.1076,1.0000
0.5000,7286.2454,0.1069,0.1069,1.0000
0.5100,7236.9108,0.1061,0.1061,1.0000
0.5200,7188.2256,0.1054,0.1054,1.0000
0.5300,7140.1774,0.1047,0.1047,1.0000
0.5400,7092.7541,0.1040,0.1040,1.0000
0.5500,7045.9438,0.1033,0.1033,1.0000
0.5600,6999.7349,0.1027,0.1027,1.0000
0.5700,6954.1163,0.1020,0.1020,1.0000
0.5800,6909.0769,0.1013,0.1013,1.0000
0.5900,6864.6059,0.1007,0.1007,1.0000
0.6000,6820.6929,0.1000,0.1000,1.0000
0.6100,6777.3276,0.0994,0.0994,1.0000
0.6200,6734.5001,0.0988,0.0988,1.0000
0.6300,6692.2006,0.0982,0.0982,1.0000
0.6400,6650.4196,0.0975,0.0975,1.0000
0.6500,6609.1478,0.0969,0.0969,1.0000
0.6600,6568.3761,0.0963,0.0963,1.0000
0.6700,6528.0957,0.0957,0.0957,1.0000
0.6800,6488.2978,0.0952,0.0952,1.0000
0.6900,6448.9741,0.0946,0.0946,1.0000
0.7000,6410.1162,0.0940,0.0940,1.0000
0.7100,6371.7161,0.0935,0.0935,1.0000
0.7200,6333.7658,0.0929,0.0929,1.0000
0.7300,6296.2577,0.0923,0.0923,1.0000
0.7400,6259.1841,0.0918,0.0918,1.0000
0.7500,6222.5378,0.0913,0.0913,1.0000
0.7600,6186.3114,0.0907,0.0907,1.0000
0.7700,6150.4979,0.0902,0.0902,1.0000
0.7800,6115.0904,0.0897,0.0897,1.0000
0.7900,6080.0821,0.0892,0.0892,1.0000
0.8000,6045.4665,0.0887,0.0887,1.0000
0.8100,6011.2371,0.0882,0.0882,1.0000
0.8200,5977.3875,0.0877,0.0877,1.0000
0.8300,5943.9115,0.0872,0.0872,1.0000
0.8400,5910.8031,0.0867,0.0867,1.0000
0.8500,5878.0564,0.0862,0.0862,1.0000
0.8600,5845.6655,0.0857,0.0857,1.0000
0.8700,5813.6248,0.0853,0.0853,1.0000
